Exam Title,Exam Number,Exam Date
GitHub Copilot,GH-300,2025-07-24
Configuring Windows Server Hybrid Advanced Services,AZ-801,2023-10-25
Microsoft Azure Administrator,AZ-104,2022-12-23
Microsoft Azure Security Technologies,AZ-500,2022-12-22
Designing and Implementing Microsoft DevOps Solutions,AZ-400,2022-09-23
Microsoft Identity and Access Administrator,SC-300,2021-08-11
Technology Literacy for Educators,62-193,2021-07-28
"Microsoft Security, Compliance, and Identity Fundamentals",SC-900,2021-03-03
Microsoft Azure Data Fundamentals,DP-900,2020-07-15
Microsoft Azure AI Fundamentals,AI-900,2020-07-09
Microsoft Power Platform Fundamentals,PL-900,2020-02-21
Microsoft 365 Fundamentals,MS-900,2019-02-06
Microsoft Azure Administrator Certification Transition,AZ-102,2019-01-25
Microsoft Azure Solutions Architect Certification Transition,AZ-302,2019-01-08
Microsoft Azure Fundamentals,AZ-900,2019-01-04
Architecting Microsoft Azure Solutions,535,2018-11-29
Microsoft Azure Architect Technologies,AZ-300,2018-11-13
Implementing Microsoft Azure Infrastructure Solutions,533,2018-04-17
Designing and Implementing a Server Infrastructure,413,2014-12-15
Upgrading Your Skills to MCSA Windows Server 2012,417,2014-09-22
Administering Microsoft SQL Server 2012/2014 Databases,462,2013-10-04
"Pro: Windows Server 2008, Enterprise Administrator",647,2013-07-10
"TS: Microsoft Exchange Server 2010, Configuring",662,2012-11-30
"TS: Windows Server 2008 Applications Infrastructure, Configuring",643,2012-09-27
"Windows Server 2008 Active Directory, Configuring",640,2012-08-03
"Windows Server 2008 Network Infrastructure, Configuring",642,2012-04-27
"TS: Windows 7, Configuring",680,2012-02-10
"PRO: Windows 7, Enterprise Desktop Administrator",686,2011-10-26
