credential_types,display_credential_types,display_levels,display_products,display_roles,display_subjects,exam_display_name,exams,hidden,icon_url,last_modified,levels,locale,products,roles,subjects,title,uid,url
examination,,Intermediate,Microsoft Entra;Microsoft Entra ID;Azure;Azure Arc;Azure Automation;Microsoft Defender;Microsoft Defender for Cloud;Azure Disk Encryption;Azure Files;Azure Monitor;Azure Policy;Azure PowerShell;Microsoft Sentinel;Azure Virtual Machines;Microsoft Defender for Endpoint;Windows Server,Administrator;Identity and Access Administrator;Information Protection and Compliance Administrator;Network Engineer;Security Engineer;Support Engineer;Technology Manager,,AZ-800,,False,/media/learn/certification/badges/certification-exam.svg,2025-07-07T23:29:00Z,intermediate,en-us,entra;entra-id;azure;azure-arc;azure-automation;microsoft-defender;defender-for-cloud;azure-disk-encryption;azure-files;azure-monitor;azure-policy;azure-powershell;microsoft-sentinel;azure-virtual-machines;defender-endpoint;windows-server,administrator;identity-access-admin;ip-admin;network-engineer;security-engineer;support-engineer;technology-manager,,Administering Windows Server Hybrid Core Infrastructure,exam.az-800,/credentials/certifications/exams/az-800/
examination,,Intermediate,Microsoft Entra;Microsoft Entra ID;Azure;Azure Arc;Azure Automation;Microsoft Defender;Microsoft Defender for Cloud;Azure Disk Encryption;Azure Files;Azure Monitor;Azure Policy;Azure PowerShell;Microsoft Sentinel;Azure Virtual Machines;Microsoft Defender for Endpoint;Windows Server,Administrator;Identity and Access Administrator;Information Protection and Compliance Administrator;Network Engineer;Security Engineer;Support Engineer;Technology Manager,,AZ-801,,False,/media/learn/certification/badges/certification-exam.svg,2025-07-07T23:29:00Z,intermediate,en-us,entra;entra-id;azure;azure-arc;azure-automation;microsoft-defender;defender-for-cloud;azure-disk-encryption;azure-files;azure-monitor;azure-policy;azure-powershell;microsoft-sentinel;azure-virtual-machines;defender-endpoint;windows-server,administrator;identity-access-admin;ip-admin;network-engineer;security-engineer;support-engineer;technology-manager,,Configuring Windows Server Hybrid Advanced Services,exam.az-801,/credentials/certifications/exams/az-801/
examination,,Advanced,Azure,Solution Architect,,AZ-305,,False,/media/learn/certification/badges/certification-exam.svg,2025-07-07T23:29:00Z,advanced,en-us,azure,solution-architect,,Designing Microsoft Azure Infrastructure Solutions,exam.az-305,/credentials/certifications/exams/az-305/
examination,,Advanced,Azure;Azure DevOps;Azure Kubernetes Service (AKS);Azure Container Instances;Azure Automation,DevOps Engineer,,AZ-400,,False,/media/learn/certification/badges/certification-exam.svg,2025-07-07T23:29:00Z,advanced,en-us,azure;azure-devops;azure-kubernetes-service;azure-container-instances;azure-automation,devops-engineer,,Designing and Implementing Microsoft DevOps Solutions,exam.az-400,/credentials/certifications/exams/az-400/
certification;fundamentals,;Fundamentals,Intermediate,GitHub,Administrator;Developer;DevOps Engineer;Solution Architect;Student,Application development;DevOps,,,False,/media/learn/certification/badges/github-actions.svg,2025-07-01T23:54:00Z,intermediate,en-us,github,administrator;developer;devops-engineer;solution-architect;student,app-development;devops,GitHub Actions,certification.github-actions,/credentials/certifications/github-actions/
certification;fundamentals,;Fundamentals,Intermediate,GitHub,Administrator;DevOps Engineer;Technology Manager,Application development;DevOps,,,False,/media/learn/certification/badges/github-administration.svg,2025-07-07T23:29:00Z,intermediate,en-us,github,administrator;devops-engineer;technology-manager,app-development;devops,GitHub Administration (beta),certification.github-administration,/credentials/certifications/github-administration/
certification;fundamentals,;Fundamentals,Intermediate,GitHub,Administrator;Developer;DevOps Engineer;Solution Architect;Student,Application development;DevOps,,,False,/media/learn/certification/badges/github-advanced-security.svg,2025-07-01T23:54:00Z,intermediate,en-us,github,administrator;developer;devops-engineer;solution-architect;student,app-development;devops,GitHub Advanced Security,certification.github-advanced-security,/credentials/certifications/github-advanced-security/
certification;fundamentals,;Fundamentals,Intermediate,GitHub,App Maker;Developer;DevOps Engineer;Technology Manager,Artificial intelligence;Business applications;Automation;Machine learning,,,False,/media/learn/certification/badges/github-copilot.svg,2025-07-01T23:54:00Z,intermediate,en-us,github,maker;developer;devops-engineer;technology-manager,artificial-intelligence;business-applications;automation;machine-learning,GitHub Copilot,certification.github-copilot,/credentials/certifications/github-copilot/
certification;fundamentals,;Fundamentals,Beginner,GitHub,Administrator;App Maker;Developer;DevOps Engineer;Solution Architect,Application development;DevOps,,,False,/media/learn/certification/badges/github-foundations.svg,2025-07-01T23:54:00Z,beginner,en-us,github,administrator;maker;developer;devops-engineer;solution-architect,app-development;devops,GitHub Foundations,certification.github-foundations,/credentials/certifications/github-foundations/
examination,,Intermediate,Microsoft 365;Office 365,Administrator,,MS-102,,False,/media/learn/certification/badges/certification-exam.svg,2025-04-25T16:35:00Z,intermediate,en-us,m365;office-365,administrator,,Microsoft 365 Administrator,exam.ms-102,/credentials/certifications/exams/ms-102/
certification;role-based,;Role-based,Advanced,Microsoft 365;Microsoft Entra;Microsoft Entra ID;Office 365,Administrator,,,MS-102,False,/media/learn/certification/badges/microsoft-certified-expert-badge.svg,2025-04-25T16:35:00Z,advanced,en-us,m365;entra;entra-id;office-365,administrator,,Microsoft 365 Certified: Administrator Expert,certification.m365-enterprise-administrator,/credentials/certifications/m365-administrator-expert/
certification;role-based,;Role-based,Intermediate,Microsoft 365,Administrator,,,,False,/media/learn/certification/badges/microsoft-certified-associate-badge.svg,2025-04-30T17:01:00Z,intermediate,en-us,m365,administrator,,Microsoft 365 Certified: Collaboration Communications Systems Engineer Associate,certification.m365-collaboration-communications-systems-engineer,/credentials/certifications/m365-collaboration-communications-systems-engineer/
certification;role-based,;Role-based,Intermediate,Microsoft 365,Administrator,,,,False,/media/learn/certification/badges/microsoft-certified-associate-badge.svg,2025-03-07T18:18:00Z,intermediate,en-us,m365,administrator,,Microsoft 365 Certified: Endpoint Administrator Associate,certification.modern-desktop,/credentials/certifications/modern-desktop/
certification;fundamentals,;Fundamentals,Beginner,Office 365,Administrator,,,,False,/media/learn/certification/badges/microsoft-certified-fundamentals-badge.svg,2025-04-30T17:01:00Z,beginner,en-us,office-365,administrator,,Microsoft 365 Certified: Fundamentals,certification.microsoft-365-fundamentals,/credentials/certifications/microsoft-365-fundamentals/
certification;role-based,;Role-based,Intermediate,Microsoft 365,Administrator,,,,False,/media/learn/certification/badges/microsoft-certified-associate-badge.svg,2025-04-29T21:54:00Z,intermediate,en-us,m365,administrator,,Microsoft 365 Certified: Teams Administrator Associate,certification.m365-teams-administrator-associate,/credentials/certifications/m365-teams-administrator-associate/
applied skills,,Intermediate,GitHub,Developer,Application development;Artificial intelligence,,,False,,2025-05-15T19:01:00Z,intermediate,en-us,github,developer,app-development;artificial-intelligence,Microsoft Applied Skills: Accelerate app development by using GitHub Copilot,applied-skill.accelerate-app-development-by-using-github-copilot,/credentials/applied-skills/accelerate-app-development-by-using-github-copilot/
applied skills,,Intermediate,Windows;Active Directory,Administrator,Business applications;Device management;Technical infrastructure,,,False,,2025-05-21T16:47:00Z,intermediate,en-us,windows;active-directory,administrator,business-applications;device-management;infrastructure,Microsoft Applied Skills: Administer Active Directory Domain Services,applied-skill.administer-active-directory-domain-services,/credentials/applied-skills/administer-active-directory-domain-services/
applied skills,,Intermediate,GitHub,Developer,Business applications;Automation,,,False,,2025-06-24T19:57:00Z,intermediate,en-us,github,developer,business-applications;automation,Microsoft Applied Skills: Automate Azure Load Testing by using GitHub Actions,applied-skill.automate-azure-load-testing-by-using-github-actions,/credentials/applied-skills/automate-azure-load-testing-by-using-github-actions/
applied skills,,Intermediate,Azure;Azure Database for PostgreSQL,Developer,Artificial intelligence;Data management;Databases,,,False,,2024-12-13T17:46:00Z,intermediate,en-us,azure;azure-database-postgresql,developer,artificial-intelligence;data-management;databases,Microsoft Applied Skills: Build AI-powered solutions by using Microsoft Azure Database for PostgreSQL,applied-skill.build-ai-powered-solutions-by-using-microsoft-azure-database-for-postgresql,/credentials/applied-skills/build-ai-powered-solutions-by-using-microsoft-azure-database-for-postgresql/
applied skills,,Intermediate,Azure;Azure AI Language,AI Engineer;Developer;Solution Architect,Artificial intelligence,,,False,,2025-05-21T16:47:00Z,intermediate,en-us,azure;language-service,ai-engineer;developer;solution-architect,artificial-intelligence,Microsoft Applied Skills: Build a natural language processing solution with Azure AI Language,applied-skill.build-natural-language-solution-azure-ai,/credentials/applied-skills/build-natural-language-solution-azure-ai/
